# US counties and incorporated places, keyed for apsi_crawler.jurisdictions.
# Generated by crawler/scripts/refresh_jurisdictions.py - do not hand-edit rows.
# generated: 2026-09-21
# source_counties: https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_counties_national.zip
# source_places: https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2024_Gazetteer/2024_Gaz_place_national.zip
# place_filter: dropped LSAD 55=comunidad, 57=CDP, 62=zona urbana (statistical, not governments); every other LSAD kept.
# rows: 3222 counties + 19512 places
level	geoid	state	name	name_key
county	01001	AL	Autauga County	autauga
county	01003	AL	Baldwin County	baldwin
county	01005	AL	Barbour County	barbour
county	01007	AL	Bibb County	bibb
county	01009	AL	Blount County	blount
county	01011	AL	Bullock County	bullock
county	01013	AL	Butler County	butler
county	01015	AL	Calhoun County	calhoun
county	01017	AL	Chambers County	chambers
county	01019	AL	Cherokee County	cherokee
county	01021	AL	Chilton County	chilton
county	01023	AL	Choctaw County	choctaw
county	01025	AL	Clarke County	clarke
county	01027	AL	Clay County	clay
county	01029	AL	Cleburne County	cleburne
county	01031	AL	Coffee County	coffee
county	01033	AL	Colbert County	colbert
county	01035	AL	Conecuh County	conecuh
county	01037	AL	Coosa County	coosa
county	01039	AL	Covington County	covington
county	01041	AL	Crenshaw County	crenshaw
county	01043	AL	Cullman County	cullman
county	01045	AL	Dale County	dale
county	01047	AL	Dallas County	dallas
county	01049	AL	DeKalb County	dekalb
county	01051	AL	Elmore County	elmore
county	01053	AL	Escambia County	escambia
county	01055	AL	Etowah County	etowah
county	01057	AL	Fayette County	fayette
county	01059	AL	Franklin County	franklin
county	01061	AL	Geneva County	geneva
county	01063	AL	Greene County	greene
county	01065	AL	Hale County	hale
county	01067	AL	Henry County	henry
county	01069	AL	Houston County	houston
county	01071	AL	Jackson County	jackson
county	01073	AL	Jefferson County	jefferson
county	01075	AL	Lamar County	lamar
county	01077	AL	Lauderdale County	lauderdale
county	01079	AL	Lawrence County	lawrence
county	01081	AL	Lee County	lee
county	01083	AL	Limestone County	limestone
county	01085	AL	Lowndes County	lowndes
county	01087	AL	Macon County	macon
county	01089	AL	Madison County	madison
county	01091	AL	Marengo County	marengo
county	01093	AL	Marion County	marion
county	01095	AL	Marshall County	marshall
county	01097	AL	Mobile County	mobile
county	01099	AL	Monroe County	monroe
county	01101	AL	Montgomery County	montgomery
county	01103	AL	Morgan County	morgan
county	01105	AL	Perry County	perry
county	01107	AL	Pickens County	pickens
county	01109	AL	Pike County	pike
county	01111	AL	Randolph County	randolph
county	01113	AL	Russell County	russell
county	01115	AL	St. Clair County	st clair
county	01117	AL	Shelby County	shelby
county	01119	AL	Sumter County	sumter
county	01121	AL	Talladega County	talladega
county	01123	AL	Tallapoosa County	tallapoosa
county	01125	AL	Tuscaloosa County	tuscaloosa
county	01127	AL	Walker County	walker
county	01129	AL	Washington County	washington
county	01131	AL	Wilcox County	wilcox
county	01133	AL	Winston County	winston
county	02013	AK	Aleutians East Borough	aleutians east
county	02016	AK	Aleutians West Census Area	aleutians west census area
county	02020	AK	Anchorage Municipality	anchorage municipality
county	02050	AK	Bethel Census Area	bethel census area
county	02060	AK	Bristol Bay Borough	bristol bay
county	02063	AK	Chugach Census Area	chugach census area
county	02066	AK	Copper River Census Area	copper river census area
county	02068	AK	Denali Borough	denali
county	02070	AK	Dillingham Census Area	dillingham census area
